ids,0,1,2,3,4,5,6,7,8,9
frozenset({'223283.9.peg.655'}),7.00345422852524e-14,1.093810824973507e-14,3.05392426594058e-15,-1.201369499841526e-13,2.713638876545377e-13,0.0,-4.47682167708439e-13,9.443703072389968e-14,-7.362130239847305e-14,5.738093136679568e-13
frozenset({'223283.9.peg.656'}),3.181394114564262e-13,1.195370111947433e-13,-5.124533708503359e-14,7.274483998986704e-14,1.501993945935053e-13,1.092609830382303e-14,-3.06717247772042e-13,1.728160244530905e-13,-9.340373477009225e-14,1.115544633027853e-14
frozenset({'223283.9.peg.657'}),-3.254597202207365e-13,0.0,4.864385852912024e-16,-7.25019084929091e-14,-2.011881929205229e-14,-3.517902859392909e-13,1.249857949328587e-12,-1.296826504614148e-13,-1.622852333345178e-13,
frozenset({'223283.9.peg.658'}),-5.981880436355278e-13,2.849872506049038e-14,4.864385852912024e-16,-2.107807586089913e-13,0.0,2.011881929205229e-14,-2.512787756709221e-13,1.292661303757648e-12,-1.570152765194765e-14,-2.041999624738967e-13
frozenset({'223283.9.peg.662'}),9.027151069282379e-13,1.351254509777073e-13,-2.893929849072458e-14,-1.28239667648918e-13,-4.939909396142932e-14,3.25172280353778e-14,-1.98833203992179e-14,1.286993886701075e-13,0.0,9.926704723390258e-15
frozenset({'223283.9.peg.810'}),4.416817499060676e-13,-8.852760854867284e-14,-5.784759561682921e-13,-3.415940936038081e-14,2.829340134305123e-14,8.822631178428383e-13,0.0,-2.497701658573463e-14,1.583776300091964e-13,2.095322301166254e-13
frozenset({'223283.9.peg.811'}),0.0,-2.139009808716979e-14,-5.946819878610398e-14,6.628337943311121e-13,-2.776410173847465e-14,-3.58098652164152e-13,7.325982245317558e-15,9.540718231307145e-14,-4.877347301063681e-14,2.312653273275156e-13
frozenset({'223283.9.peg.816'}),-5.001883688161951e-15,2.190309929870342e-14,-1.901961784995598e-13,-7.630783542082871e-14,-1.606630960304134e-14,3.113434111379077e-14,9.207815999590063e-15,-1.26038662317312e-12,6.698725031046284e-14,6.012269880057878e-14
frozenset({'223283.9.peg.819'}),1.37653245515256e-12,-7.596194576908752e-14,4.789855831793152e-14,2.728050078912716e-13,-9.481936276556392e-14,-2.955883752377696e-13,-3.195817231407843e-13,5.170506445864374e-14,9.889637604323966e-14,2.310011536051935e-14
frozenset({'223283.9.peg.93'}),3.540900783739477e-14,4.037847687014247e-13,-6.540871546438502e-14,5.818979670763898e-14,-2.793220473687207e-14,-4.206770412909175e-13,0.0,-9.46956926671364e-15,-1.416292974238345e-13,
frozenset({'223283.9.peg.94'}),1.82329783589499e-14,-8.498721006344203e-14,-5.478098360370818e-13,1.470835269527822e-13,-1.568200593744856e-13,-4.325058918396673e-13,-7.555954892654447e-13,2.368660355342977e-15,-7.570680040530687e-14,2.513360171743143e-11
