ids,growth,status
frozenset({'PSPTO_5600'}),94.81958475956961,optimal
frozenset({'PSPTO_2369'}),118.52448094946402,optimal
frozenset({'PSPTO_4502'}),118.52448094946402,optimal
frozenset({'PSPTO_5040'}),118.5244809494642,optimal
frozenset({'PSPTO_1294'}),118.5244809494642,optimal
frozenset({'PSPTO_1428'}),1.9177753730818275e-14,optimal
frozenset({'PSPTO_3280'}),118.52448094946351,optimal
frozenset({'PSPTO_5557'}),118.52448094946351,optimal
frozenset({'PSPTO_2488'}),118.52448094946351,optimal
frozenset({'PSPTO_1444'}),118.52448094946351,optimal
frozenset({'PSPTO_3862'}),118.52448094946351,optimal
frozenset({'PSPTO_5262'}),118.52448094946351,optimal
frozenset({'PSPTO_2345'}),118.52448094946395,optimal
frozenset({'PSPTO_1430'}),1.169862046242511e-13,optimal
frozenset({'PSPTO_0218'}),118.5244809494636,optimal
frozenset({'PSPTO_1993'}),118.5244809494636,optimal
frozenset({'PSPTO_0460'}),118.5244809494636,optimal
frozenset({'PSPTO_2914'}),118.5244809494636,optimal
frozenset({'PSPTO_5289'}),118.52448094946361,optimal
frozenset({'PSPTO_3455'}),118.51439511229633,optimal
frozenset({'PSPTO_1005'}),118.52448094946361,optimal
frozenset({'PSPTO_0073'}),118.52448094946361,optimal
frozenset({'PSPTO_5134'}),118.52448094946361,optimal
frozenset({'PSPTO_3054'}),118.52448094946361,optimal
frozenset({'PSPTO_0083'}),113.80184580588399,optimal
frozenset({'PSPTO_1326'}),117.37216506376983,optimal
frozenset({'PSPTO_0259'}),118.52448094946419,optimal
frozenset({'PSPTO_1661'}),4.499774189561901e-14,optimal
frozenset({'PSPTO_2277'}),118.52448094946446,optimal
frozenset({'PSPTO_1990'}),118.52448094946446,optimal
frozenset({'PSPTO_0158'}),-9.789338578626823e-14,optimal
frozenset({'PSPTO_4026'}),118.52448094946374,optimal
frozenset({'PSPTO_0690'}),6.725252303584e-14,optimal
frozenset({'PSPTO_3817'}),118.52448094946402,optimal
frozenset({'PSPTO_4894'}),118.52448094946402,optimal
frozenset({'PSPTO_4681'}),118.52448094946402,optimal
frozenset({'PSPTO_3706'}),118.52448094946402,optimal
frozenset({'PSPTO_1821'}),118.52448094946402,optimal
frozenset({'PSPTO_0568'}),118.52448094946402,optimal
frozenset({'PSPTO_4408'}),118.52448094946402,optimal
frozenset({'PSPTO_3375'}),118.52448094946402,optimal
frozenset({'PSPTO_5079'}),118.52448094946402,optimal
frozenset({'PSPTO_4861'}),118.52448094946402,optimal
frozenset({'PSPTO_1731'}),118.52448094946402,optimal
frozenset({'PSPTO_0498'}),118.52448094946402,optimal
frozenset({'PSPTO_1480'}),118.52448094946402,optimal
frozenset({'PSPTO_2195'}),118.52448094946394,optimal
frozenset({'PSPTO_5499'}),117.14812150275112,optimal
frozenset({'PSPTO_1540'}),-1.8050655200546262e-14,optimal
frozenset({'PSPTO_2197'}),118.52448094946381,optimal
frozenset({'PSPTO_2275'}),118.52448094946381,optimal
frozenset({'PSPTO_4547'}),118.52448094946381,optimal
frozenset({'PSPTO_0085'}),-1.7100794148267082e-13,optimal
frozenset({'PSPTO_5189'}),118.5244809494638,optimal
frozenset({'PSPTO_0417'}),3.180988497613298e-13,optimal
frozenset({'PSPTO_4111'}),118.52448094946348,optimal
frozenset({'PSPTO_4063'}),118.52448094946348,optimal
frozenset({'PSPTO_1332'}),118.24918267920874,optimal
frozenset({'PSPTO_3370'}),118.52448094946372,optimal
frozenset({'PSPTO_5260'}),118.52448094946372,optimal
frozenset({'PSPTO_0385'}),118.52448094946372,optimal
frozenset({'PSPTO_2043'}),3.924498603235928e-14,optimal
frozenset({'PSPTO_0357'}),-1.5697994412943712e-13,optimal
frozenset({'PSPTO_1148'}),118.52448094946503,optimal
frozenset({'PSPTO_1136'}),77.63729300349198,optimal
frozenset({'PSPTO_2201'}),118.52448094946378,optimal
frozenset({'PSPTO_5261'}),118.52448094946378,optimal
frozenset({'PSPTO_2026'}),118.5088232596998,optimal
frozenset({'PSPTO_1550'}),118.52448094946378,optimal
frozenset({'PSPTO_2367'}),118.52448094946378,optimal
frozenset({'PSPTO_0592'}),118.52448094946378,optimal
frozenset({'PSPTO_1558'}),118.52448094946413,optimal
frozenset({'PSPTO_0693'}),-7.257468788502618e-14,optimal
frozenset({'PSPTO_2944'}),118.52448094946413,optimal
frozenset({'PSPTO_0129'}),118.52448094946413,optimal
frozenset({'PSPTO_2925'}),118.52448094946413,optimal
frozenset({'PSPTO_4572'}),118.52448094946413,optimal
frozenset({'PSPTO_3881'}),118.52274100184128,optimal
frozenset({'PSPTO_5047'}),112.74798731761759,optimal
frozenset({'PSPTO_0095'}),118.52448094946392,optimal
frozenset({'PSPTO_5005'}),118.52448094946392,optimal
frozenset({'PSPTO_1536'}),5.572753078521234e-14,optimal
frozenset({'PSPTO_3368'}),118.52448094946386,optimal
frozenset({'PSPTO_1421'}),118.52448094946386,optimal
frozenset({'PSPTO_5279'}),118.52448094946386,optimal
frozenset({'PSPTO_0495'}),118.52448094946386,optimal
frozenset({'PSPTO_4955'}),-3.602047125852986e-15,optimal
frozenset({'PSPTO_1562'}),2.9472198108012894e-14,optimal
frozenset({'PSPTO_4164'}),118.52448094946459,optimal
frozenset({'PSPTO_1694'}),118.52448094946459,optimal
frozenset({'PSPTO_1553'}),-3.8663248592233065e-15,optimal
frozenset({'PSPTO_4179'}),118.52448094946392,optimal
frozenset({'PSPTO_1838'}),118.52448094946392,optimal
frozenset({'PSPTO_0383'}),-7.063718363496771e-13,optimal
frozenset({'PSPTO_3840'}),118.52448094946314,optimal
frozenset({'PSPTO_2732'}),1.0295452264058846e-13,optimal
frozenset({'PSPTO_3814'}),2.2061683422983244e-13,optimal
frozenset({'PSPTO_2568'}),118.44856380906114,optimal
frozenset({'PSPTO_3559'}),118.52448094946412,optimal
frozenset({'PSPTO_1169'}),97.9123742888814,optimal
frozenset({'PSPTO_3374'}),118.52448094946406,optimal
frozenset({'PSPTO_0957'}),118.50469448649535,optimal
frozenset({'PSPTO_1669'}),118.52448094946406,optimal
frozenset({'PSPTO_2292'}),118.52448094946406,optimal
frozenset({'PSPTO_5080'}),118.52448094946406,optimal
frozenset({'PSPTO_2510'}),3.6877095378063916e-11,optimal
frozenset({'PSPTO_3810'}),118.52448094946384,optimal
frozenset({'PSPTO_1699'}),118.50164514003245,optimal
frozenset({'PSPTO_3745'}),3.763020285407406e-13,optimal
frozenset({'PSPTO_3344'}),9.521680444878358e-14,optimal
frozenset({'PSPTO_1509'}),111.01112958636064,optimal
frozenset({'PSPTO_1846'}),118.52448094946399,optimal
frozenset({'PSPTO_5085'}),118.52448094946399,optimal
frozenset({'PSPTO_2206'}),118.20594747503917,optimal
frozenset({'PSPTO_0224'}),118.52448094946384,optimal
frozenset({'PSPTO_0239'}),118.52448094946384,optimal
frozenset({'PSPTO_5188'}),118.52448094946384,optimal
frozenset({'PSPTO_2039'}),118.52448094946384,optimal
frozenset({'PSPTO_2287'}),118.52448094946384,optimal
frozenset({'PSPTO_4254'}),118.52448094946384,optimal
frozenset({'PSPTO_4917'}),118.52448094946384,optimal
frozenset({'Unknown'}),97.7639350247733,optimal
frozenset({'PSPTO_1329'}),117.3721650637694,optimal
frozenset({'PSPTO_2178'}),118.52448094946365,optimal
frozenset({'PSPTO_4307'}),118.52448094946365,optimal
frozenset({'PSPTO_4441'}),118.52448094946365,optimal
frozenset({'PSPTO_5598'}),94.81958475957123,optimal
frozenset({'PSPTO_0490'}),118.52448094946435,optimal
frozenset({'PSPTO_0817'}),118.52448094946435,optimal
frozenset({'PSPTO_3871'}),-7.860695200268106e-15,optimal
frozenset({'PSPTO_0954'}),97.76393502477174,optimal
frozenset({'PSPTO_4632'}),118.5244809494621,optimal
frozenset({'PSPTO_0461'}),118.5244809494621,optimal
frozenset({'PSPTO_5277'}),118.5244809494621,optimal
frozenset({'PSPTO_5017'}),112.74798731761666,optimal
frozenset({'PSPTO_5049'}),118.52448094946374,optimal
frozenset({'PSPTO_1552'}),-3.8740930454327314e-14,optimal
frozenset({'PSPTO_3668'}),118.52448094946426,optimal
frozenset({'PSPTO_0593'}),2.8547981465543573e-13,optimal
frozenset({'PSPTO_4225'}),118.51404202994331,optimal
frozenset({'PSPTO_5016'}),112.73160398526322,optimal
frozenset({'PSPTO_3830'}),118.52448094946398,optimal
frozenset({'PSPTO_2900'}),118.52448094946398,optimal
frozenset({'PSPTO_3842'}),118.52448094946398,optimal
frozenset({'PSTPO_5279'}),118.52448094946398,optimal
