rxn,pat,kegg
rxn09448_c,fig|223283.9.peg.3053,
rxn05736_c,fig|223283.9.peg.3053,
423,fig|223283.9.peg.3053,PSPTO_2991
424,fig|223283.9.peg.3066,PSPTO_3002
425,fig|223283.9.peg.3073,PSPTO_3009
rxn10262_c,fig|223283.9.peg.3085,
rxn10263_c,fig|223283.9.peg.3085,
rxn09111_c,fig|223283.9.peg.3085,
rxn09114_c,fig|223283.9.peg.3085,
rxn10264_c,fig|223283.9.peg.3085,
rxn09113_c,fig|223283.9.peg.3085,
rxn09110_c,fig|223283.9.peg.3085,
rxn10260_c,fig|223283.9.peg.3085,
rxn09109_c,fig|223283.9.peg.3085,
rxn10259_c,fig|223283.9.peg.3085,
rxn10261_c,fig|223283.9.peg.3085,
rxn09108_c,fig|223283.9.peg.3085,
rxn09112_c,fig|223283.9.peg.3085,
426,fig|223283.9.peg.3085,PSPTO_3022
rxn01332_c,fig|223283.9.peg.3090,
427,fig|223283.9.peg.3090,PSPTO_3027
rxn00704_c,fig|223283.9.peg.3098,
rxn03512_c,fig|223283.9.peg.3098,
428,fig|223283.9.peg.3098,PSPTO_3035
rxn01218_c,fig|223283.9.peg.3106,
rxn00913_c,fig|223283.9.peg.3106,
rxn01445_c,fig|223283.9.peg.3106,
rxn00708_c,fig|223283.9.peg.3106,
rxn00132_c,fig|223283.9.peg.3106,
rxn00363_c,fig|223283.9.peg.3106,
rxn00831_c,fig|223283.9.peg.3106,
