Source,Target,UniprotKB ACC,PATRIC ID
fig|223283.9.peg.3957,PSPTO_3860,,fig|223283.9.peg.3957
fig|223283.9.peg.3959,PSPTO_3862,,fig|223283.9.peg.3959
fig|223283.9.peg.3969,PSPTO_3871,,fig|223283.9.peg.3969
fig|223283.9.peg.3981,PSPTO_3883,,fig|223283.9.peg.3981
fig|223283.9.peg.4,PSPTO_0004,,fig|223283.9.peg.4
fig|223283.9.peg.400,PSPTO_0383,,fig|223283.9.peg.400
fig|223283.9.peg.4001,PSPTO_3902,,fig|223283.9.peg.4001
fig|223283.9.peg.4019,PSPTO_3920,,fig|223283.9.peg.4019
fig|223283.9.peg.402,PSPTO_0385,,fig|223283.9.peg.402
fig|223283.9.peg.4023,PSPTO_3924,,fig|223283.9.peg.4023
fig|223283.9.peg.403,PSPTO_0386,,fig|223283.9.peg.403
fig|223283.9.peg.404,PSPTO_0387,,fig|223283.9.peg.404
fig|223283.9.peg.4049,PSPTO_3950,,fig|223283.9.peg.4049
fig|223283.9.peg.4058,PSPTO_3959,,fig|223283.9.peg.4058
fig|223283.9.peg.407,PSPTO_0390,,fig|223283.9.peg.407
fig|223283.9.peg.4081,PSPTO_3981,,fig|223283.9.peg.4081
fig|223283.9.peg.4129,PSPTO_4026,,fig|223283.9.peg.4129
fig|223283.9.peg.4166,PSPTO_4063,,fig|223283.9.peg.4166
fig|223283.9.peg.4202,PSPTO_4097,,fig|223283.9.peg.4202
fig|223283.9.peg.4204,PSPTO_4098,,fig|223283.9.peg.4204
fig|223283.9.peg.4222,PSPTO_4116,,fig|223283.9.peg.4222
fig|223283.9.peg.4247,PSPTO_4137,,fig|223283.9.peg.4247
fig|223283.9.peg.4248,PSPTO_4138,,fig|223283.9.peg.4248
fig|223283.9.peg.4250,PSPTO_4140,,fig|223283.9.peg.4250
fig|223283.9.peg.4254,PSPTO_4144,,fig|223283.9.peg.4254
fig|223283.9.peg.4257,PSPTO_4147,,fig|223283.9.peg.4257
fig|223283.9.peg.4265,PSPTO_4155,,fig|223283.9.peg.4265
fig|223283.9.peg.4274,PSPTO_4164,,fig|223283.9.peg.4274
fig|223283.9.peg.4277,PSPTO_4167,,fig|223283.9.peg.4277
fig|223283.9.peg.4278,PSPTO_4168,,fig|223283.9.peg.4278
fig|223283.9.peg.4280,PSPTO_4170,,fig|223283.9.peg.4280
fig|223283.9.peg.4289,PSPTO_4179,,fig|223283.9.peg.4289
fig|223283.9.peg.429,PSPTO_0410,,fig|223283.9.peg.429
fig|223283.9.peg.4293,PSPTO_4183,,fig|223283.9.peg.4293
fig|223283.9.peg.4324,PSPTO_4217,,fig|223283.9.peg.4324
fig|223283.9.peg.4332,PSPTO_4225,,fig|223283.9.peg.4332
fig|223283.9.peg.4342,PSPTO_4235,,fig|223283.9.peg.4342
fig|223283.9.peg.4352,PSPTO_4244,,fig|223283.9.peg.4352
fig|223283.9.peg.4364,PSPTO_4254,,fig|223283.9.peg.4364
fig|223283.9.peg.437,PSPTO_0417,,fig|223283.9.peg.437
fig|223283.9.peg.4374,PSPTO_4265,,fig|223283.9.peg.4374
fig|223283.9.peg.438,PSPTO_0418,,fig|223283.9.peg.438
fig|223283.9.peg.4396,PSPTO_4285,,fig|223283.9.peg.4396
fig|223283.9.peg.4402,PSPTO_4290,,fig|223283.9.peg.4402
fig|223283.9.peg.4427,PSPTO_4312,,fig|223283.9.peg.4427
fig|223283.9.peg.4450,PSPTO_4337,,fig|223283.9.peg.4450
