rxn02199_c,PSPTO_5049,
rxn02200_c,(PSPTO_4496 or (PSPTO_1748 or PSPTO_1041)),
rxn02222_c,(PSPTO_1441 or PSPTO_0517),
rxn02260_c,PSPTO_3705,
rxn02261_c,PSPTO_3705,
rxn02262_c,PSPTO_0955,
rxn02269_c,Unknown,
rxn02275_c,(PSPTO_0517 or PSPTO_1441),
rxn02283_c,PSPTO_0178,
rxn02304_c,Unknown,
rxn02312_c,PSPTO_5075,
rxn02314_c,(Unknown and PSPTO_0955),
rxn02321_c,(PSPTO_1047 or PSPTO_1298),
rxn02334_c,(PSPTO_4965 or PSPTO_0490),
rxn02339_c,(PSPTO_2925 or PSPTO_5504),
rxn02342_c,(PSPTO_5005 or PSPTO_3860 or PSPTO_3862),
rxn02345_c,(PSPTO_3517 or PSPTO_3517),
rxn02362_c,PSPTO_1560,
rxn02376_c,(PSPTO_2199 or PSPTO_2510),
rxn02379_c,(PSPTO_0836 or PSPTO_3590),
rxn02391_c,PSPTO_4495,
rxn02400_c,(PSPTO_3043 or PSPTO_2277),
rxn02406_c,PSPTO_3705,
rxn02412_c,PSPTO_1335,
rxn02418_c,(PSPTO_0436 or PSPTO_3883 or PSPTO_4957 or PSPTO_5286 or PSPTO_2281),
rxn02421_c,PSPTO_1556,
rxn02444_c,PSPTO_0165,
rxn02460_c,PSPTO_3845,
rxn02466_c,PSPTO_2944,
rxn02483_c,(PSPTO_2866 or PSPTO_4478 or PSPTO_2865 or PSPTO_2342),
rxn02529_c,PSPTO_1930,
rxn02569_c,PSPTO_0793,
rxn02576_c,PSPTO_4026,
rxn02584_c,PSPTO_4034,
rxn02586_c,PSPTO_3752,
rxn02596_c,PSPTO_0885,
rxn02642_c,PSPTO_2309,
rxn02687_c,(PSPTO_2176 or PSPTO_4103),
rxn02693_c,PSPTO_5476,
rxn02737_c,(PSPTO_0678 or PSPTO_2900 or PSPTO_1754),
rxn02768_c,PSPTO_2944,
rxn02784_c,PSPTO_4880,
rxn02789_c,(PSPTO_2174 or PSPTO_2173 or (PSPTO_2174 and PSPTO_2173)),
rxn02792_c,PSPTO_0787,
rxn02795_c,(PSPTO_0338 or PSPTO_5528 or PSPTO_4945),
rxn02796_c,(PSPTO_5528 or PSPTO_4945 or PSPTO_0338),
rxn02811_c,(PSPTO_2174 or PSPTO_2173 or (PSPTO_2174 and PSPTO_2173)),
rxn02819_c,PSPTO_0961,
rxn02821_c,(PSPTO_3170 or PSPTO_3694 or PSPTO_3318),
rxn02853_c,(PSPTO_3064 or PSPTO_0092 or PSPTO_1881 or PSPTO_0418 or PSPTO_0728 or PSPTO_2673),
rxn02882_c,PSPTO_2944,
rxn02883_c,PSPTO_2944,
rxn02916_c,Unknown,
rxn02949_c,PSPTO_3517,
rxn02961_c,PSPTO_4828,
rxn02975_c,PSPTO_1196,
rxn03002_c,PSPTO_0567,
rxn03012_c,Unknown,
rxn03031_c,(PSPTO_1528 or PSPTO_1528),
rxn03035_c,PSPTO_5401,
rxn03046_c,PSPTO_5250,
rxn03050_c,PSPTO_2944,
rxn03061_c,PSPTO_3752,
rxn03062_c,(PSPTO_2175 or PSPTO_2175),
rxn03063_c,PSPTO_5282,
rxn03095_c,(PSPTO_0338 or PSPTO_5528 or PSPTO_4945),
rxn03108_c,PSPTO_4798,
rxn03142_c,PSPTO_3554,
rxn03164_c,Unknown,
rxn03174_c,((PSPTO_2035 or PSPTO_1182) or PSPTO_2578),
rxn03185_c,PSPTO_0699,
rxn03194_c,(PSPTO_0982 and PSPTO_0981),
rxn03240_c,PSPTO_3517,
rxn03241_c,PSPTO_3517,
rxn03242_c,((PSPTO_3517 and Unknown) or PSPTO_3517),
rxn03244_c,((PSPTO_3517 and Unknown) or PSPTO_3517),
rxn03246_c,((Unknown and PSPTO_3517) or PSPTO_3517),
rxn03247_c,PSPTO_3517,
rxn03249_c,((PSPTO_3517 and Unknown) or PSPTO_3517),
rxn03263_c,PSPTO_5179,
rxn03282_c,(PSPTO_2182 or PSPTO_2697 or PSPTO_1337 or PSPTO_4285 or PSPTO_2957),
rxn03287_c,PSPTO_3517,
rxn03289_c,PSPTO_3517,
rxn03323_c,PSPTO_5393,
rxn03333_c,(PSPTO_2957 or PSPTO_4285 or PSPTO_1337 or PSPTO_2697 or PSPTO_2182),
rxn03347_c,PSPTO_2944,
rxn03360_c,PSPTO_1508,
rxn03365_c,(PSPTO_2176 or PSPTO_4103),
rxn03366_c,(PSPTO_2176 or PSPTO_4103),
rxn03378_c,(PSPTO_2039 or PSPTO_1354 or PSPTO_1356 or PSPTO_1859),
rxn03380_c,PSPTO_2430,
rxn03406_c,PSPTO_0359,
rxn03407_c,PSPTO_0359,
rxn03409_c,PSPTO_0359,
rxn03419_c,((PSPTO_1182 or PSPTO_2035) or PSPTO_2578),
rxn03421_c,((PSPTO_1182 or PSPTO_2035) or PSPTO_2578),
rxn03433_c,(PSPTO_3705 or PSPTO_3705),
rxn03437_c,PSPTO_5057,
rxn03440_c,PSPTO_3517,
rxn03442_c,PSPTO_2944,
rxn03446_c,PSPTO_1481,
rxn03456_c,PSPTO_3550,
rxn03463_c,PSPTO_0699,
rxn03465_c,(PSPTO_3694 or PSPTO_3170 or PSPTO_3318),
rxn03467_c,(PSPTO_3318 or PSPTO_3694 or PSPTO_3170),
rxn03505_c,PSPTO_3668,
rxn03506_c,PSPTO_3668,
rxn03507_c,PSPTO_3668,
rxn03508_c,PSPTO_3668,
rxn03618_c,(PSPTO_4103 or PSPTO_2176),
rxn03630_c,PSPTO_5198,
rxn03644_c,PSPTO_3002,
rxn03762_c,PSPTO_4441,
rxn03807_c,PSPTO_2944,
rxn03838_c,PSPTO_0885,
rxn03839_c,(PSPTO_0517 or PSPTO_1441),
rxn03842_c,PSPTO_5393,
rxn03843_c,PSPTO_1538,
rxn03845_c,PSPTO_3675,
rxn03848_c,(PSPTO_1598 or PSPTO_0177),
rxn03849_c,(PSPTO_0177 or PSPTO_1598),
rxn03860_c,PSPTO_3517,
